User Name,Machine Name,Delivery Group,Logon time,Total (sec),Brokering (sec),VM Start (sec),HDX Connection (sec),Authentication (sec),GPOs (sec),Logon scripts (sec),Profile load (sec),Interactive sessions (sec)
myi12,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 3:15:39 PM,77.277,0,n/a,4.186,10.484,1.32,n/a,0.386,24.296
DDelGrande,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 3:16:11 PM,54.914,0,n/a,2.78,5.859,5.553,n/a,1.23,26.053
mseibert0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 3:35:56 PM,103.957,0.016,n/a,8.686,17.297,2.093,n/a,0.826,25.76
cwelsh2,ADCF\FACAD3PDECX07P,SAS,12/7/2017 3:42:09 PM,80.718,0.017,n/a,6.333,11.297,1.31,n/a,0.703,26.433
acondon2,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 3:58:15 PM,61.253,0.017,n/a,4.91,7.953,1.296,n/a,0.71,19.723
jfisher11,ADCF\FACAD3PDECX07P,SAS,12/7/2017 4:06:27 PM,177.462,0.017,n/a,n/a,29.469,1.25,n/a,1.11,25.943
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 4:08:38 PM,102.169,0,n/a,13.303,8.531,2.646,n/a,0.786,27.843
jfisher11,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 4:10:03 PM,141.619,0,n/a,n/a,20.312,1.686,n/a,0.733,25.823
plockwood-bean0,ADCF\FACAD3PDECX07P,SAS,12/7/2017 4:21:26 PM,89.554,0.017,n/a,n/a,15.437,1.403,n/a,0.283,26.733
aallen13,ADCF\FACAD3PDECX07P,SAS,12/7/2017 5:13:41 PM,86.445,0.016,n/a,3.856,22.219,1.58,n/a,0.493,26.396
kszeto0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 5:37:21 PM,181.506,0.013,n/a,7.363,18.282,1.33,n/a,0.38,20.646
dbartolanzo0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/7/2017 6:18:51 PM,69.139,0,n/a,2.266,17.875,1.28,n/a,1.11,18.42
jtolins0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 6:59:48 PM,81.749,0.017,n/a,n/a,8.922,2.886,n/a,0.94,35.433
ko'gallagher0,ADCF\FACAD3PDECX07P,SAS,12/7/2017 7:02:51 PM,95.92,0.016,n/a,n/a,21.766,1.36,n/a,0.373,28.41
jtolins0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 8:34:41 PM,80.5,0.017,n/a,6.013,10.656,1.333,n/a,0.13,26.36
dbartolanzo0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/7/2017 9:28:12 PM,79.483,0,n/a,1.993,9.031,1.173,n/a,0.736,24.633
jtolins0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 10:01:14 PM,81.462,0.017,n/a,n/a,7.468,1.703,n/a,0.456,30
fmollah0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 10:10:26 PM,70.751,0,n/a,n/a,9.437,5.313,n/a,0.676,31.203
kroenfeldt0,ADCF\FACAD3PDECX07P,SAS,12/7/2017 10:41:43 PM,67.399,0,n/a,1.733,11.282,4.523,n/a,0.363,30.96
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 11:23:54 PM,71.618,0.017,n/a,10.073,7.704,1.306,n/a,0.823,19.413
dbartolanzo0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/8/2017 12:46:13 PM,82.575,0.064,n/a,13.596,16.235,1.39,n/a,0.81,19.903
sschwab2,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 12:50:49 PM,60.728,0,n/a,2.843,9.844,1.313,n/a,0.75,20.286
plockwood-bean0,ADCF\FACAD3PDECX07P,SAS,12/8/2017 1:09:14 PM,66.002,0.017,n/a,n/a,11.891,1.266,n/a,0.673,20.713
kmartin22,ADCF\FACAD3PDECX07P,SAS,12/8/2017 2:04:41 PM,92.266,0.017,n/a,6.16,16.078,1.27,n/a,0.793,20.6
atrexler0,ADCF\FACAD3PDECX07P,SAS,12/8/2017 2:17:06 PM,202.485,0.017,n/a,4.883,17.453,1.363,n/a,0.486,25.89
estewart7,ADCF\FACAD3PDECX07P,SAS,12/8/2017 3:25:17 PM,135.387,0,n/a,4.663,37.719,1.373,n/a,0.89,25.076
mseibert0,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 3:36:49 PM,104.96,0.017,n/a,7.106,17.422,1.28,n/a,0.483,18.16
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 3:58:20 PM,67.972,0,n/a,5.553,16.75,1.28,n/a,1.063,18.203
jfisher11,ADCF\FACAD3PDECX07P,SAS,12/8/2017 3:58:27 PM,119.941,0,n/a,3.71,18.719,1.353,n/a,0.72,26.173
jfisher11,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 4:00:19 PM,191.181,0.017,n/a,3.436,32.874,1.306,n/a,0.333,21.59
