"","User.Name","Machine.Name","Delivery.Group","Logon.Attempt.Time","Total..sec.","Brokering..sec.","VM.Start..sec.","HDX.Connection..sec.","Authentication..sec.","GPOs..sec.","Logon.scripts..sec.","Profile.load..sec.","Interactive.sessions..sec.","Logon.Attempt.Outcome","Failure.Reason","Weekday","Date","Hour"
"61","dpercich0","ADCF\FACAD3PDECX07P","SAS","11/15/2017 12:14:37 PM","68.944","0.063","n/a","4.676","11","1.436","n/a","1.546","22.523","Success","n/a","Wednesday","2017-11-15",12
"62","dpercich0","ADCF\FACAD3PDECX07P","SAS","11/20/2017 12:26:58 PM","102.437","0.05","n/a","4.56","18.031","3.33","n/a","0.986","39.996","Success","n/a","Monday","2017-11-20",12
"63","dpercich0","ADCF\FACAD3PDECX07P","SAS","11/17/2017 5:39:54 PM","92.358","0.03","n/a","3.573","14.875","1.223","n/a","0.54","31.76","Success","n/a","Friday","2017-11-17",5
"64","dpercich0","ADCF\FACAD3PDECX07P","SAS","11/17/2017 2:42:32 PM","132.433","0.016","n/a","4.516","18.141","9.42","n/a","1.703","35.18","Success","n/a","Friday","2017-11-17",2
"65","dpercich0","ADCF\FACAD3PDECX07P","SAS","11/15/2017 3:48:56 PM","92.019","0.016","n/a","3.536","13.859","1.28","n/a","0.383","25.47","Success","n/a","Wednesday","2017-11-15",3
"66","tng9","ADCF\FACAD3PDECX06P","UNIV_SAS","11/16/2017 4:52:42 PM","78.001","0.03","n/a","4.25","20.125","1.203","n/a","0.78","19.126","Success","n/a","Thursday","2017-11-16",4
"67","tng9","ADCF\FACAD3PDECX06P","UNIV_SAS","11/20/2017 6:02:19 PM","95.025","0.034","n/a","6.263","13.594","8.766","n/a","0.606","33.57","Success","n/a","Monday","2017-11-20",6
"68","tng9","ADCF\FACAD3PDECX06P","UNIV_SAS","11/15/2017 2:52:01 PM","76.425","0.017","n/a","4.77","18.718","0.893","n/a","0.64","18.343","Success","n/a","Wednesday","2017-11-15",2
"69","tng9","ADCF\FACAD3PDECX06P","UNIV_SAS","11/15/2017 5:22:10 PM","66.463","0.033","n/a","2.246","10.422","1.19","n/a","0.203","17.463","Success","n/a","Wednesday","2017-11-15",5
"70","tng9","ADCF\FACAD3PDECX06P","UNIV_SAS","11/20/2017 7:54:28 PM","74.202","0.017","n/a","4.67","11.547","1.203","n/a","0.563","18.076","Success","n/a","Monday","2017-11-20",7
"71","hhein2","ADCF\FACAD3PDECX05P","Analysts","11/20/2017 4:23:53 PM","110.668","0.017","n/a","7.896","12.156","8.156","n/a","0.673","42.05","Success","n/a","Monday","2017-11-20",4
